,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,85.05,72,75,5.75,US,1627259590
1,atuona,-9.8,-139.0333,77.95,75,5,22.3,PF,1627259602
2,rathangan,53.2214,-6.995,62.15,88,4,4.63,IE,1627259602
3,butaritari,3.0707,172.7902,79.97,84,98,13.91,KI,1627259541
4,kapaa,22.0752,-159.319,84.52,79,75,4.0,US,1627259509
5,torbay,47.6666,-52.7314,57.27,91,90,9.22,CA,1627259603
6,paragominas,-2.9667,-47.4833,73.6,66,76,3.71,BR,1627259603
7,pevek,69.7008,170.3133,35.96,88,82,9.46,RU,1627259604
8,mataura,-46.1927,168.8643,47.48,87,100,2.24,NZ,1627259604
9,vesele,47.0148,34.915,70.05,56,76,7.56,UA,1627259604
10,saint anthony,45.0205,-93.218,90.18,34,1,3.0,US,1627259605
11,hobart,-42.8794,147.3294,50.25,69,20,1.99,AU,1627259495
12,faanui,-16.4833,-151.75,78.04,65,3,7.49,PF,1627259557
13,nhulunbuy,-12.2333,136.7667,81.21,57,0,16.11,AU,1627259605
14,saint-philippe,-21.3585,55.7679,65.75,73,57,11.07,RE,1627259606
15,campbell river,50.0163,-125.2446,79.52,48,75,5.75,CA,1627259606
16,bambous virieux,-20.3428,57.7575,68.25,77,40,6.91,MU,1627259606
17,te anau,-45.4167,167.7167,46.54,92,100,1.34,NZ,1627259607
18,albany,42.6001,-73.9662,75.78,93,0,4.05,US,1627259505
19,mount gambier,-37.8333,140.7667,53.51,94,75,23.02,AU,1627259607
20,carnarvon,-24.8667,113.6333,53.67,65,6,0.0,AU,1627259608
21,chokurdakh,70.6333,147.9167,52.45,46,43,8.66,RU,1627259608
22,barra do garcas,-15.89,-52.2567,71.89,34,13,1.43,BR,1627259608
23,busselton,-33.65,115.3333,61.05,69,0,23.4,AU,1627259609
24,rikitea,-23.1203,-134.9692,71.33,73,17,5.64,PF,1627259609
25,verkhnyaya inta,65.9811,60.3094,45.3,93,100,7.96,RU,1627259609
26,hovd,48.0056,91.6419,67.41,51,36,2.95,MN,1627259610
27,jamestown,42.097,-79.2353,78.12,64,1,9.22,US,1627259227
28,sokoto,13.0609,5.239,75.87,78,100,7.52,NG,1627259610
29,mgandu,-5.95,34.1333,51.21,64,46,8.84,TZ,1627259610
30,maceio,-9.6658,-35.7353,72.84,100,75,3.44,BR,1627259611
31,cherskiy,68.75,161.3,54.52,47,0,12.37,RU,1627259544
32,zhanakorgan,43.9098,67.2495,86.13,32,0,10.07,KZ,1627259611
33,qaanaaq,77.484,-69.3632,39.97,68,100,0.65,GL,1627259508
34,hermanus,-34.4187,19.2345,62.91,51,100,10.0,ZA,1627259612
35,fare,-16.7,-151.0167,77.79,67,3,7.27,PF,1627259612
36,saskylakh,71.9167,114.0833,58.87,58,84,15.84,RU,1627259613
37,henties bay,-22.116,14.2845,71.24,36,53,14.03,NA,1627259613
38,olafsvik,64.8945,-23.7142,48.97,90,100,22.97,IS,1627259613
39,port alfred,-33.5906,26.891,59.83,32,71,11.41,ZA,1627259614
40,bartica,6.4,-58.6167,77.32,98,100,1.74,GY,1627259614
41,bredasdorp,-34.5322,20.0403,55.27,66,100,2.3,ZA,1627259615
42,bonthe,7.5264,-12.505,76.41,84,98,5.57,SL,1627259615
43,constitucion,-35.3333,-72.4167,50.47,93,100,10.18,CL,1627259615
44,shingu,33.7333,135.9833,85.19,62,0,4.27,JP,1627259616
45,punta arenas,-53.15,-70.9167,37.42,80,0,6.91,CL,1627259616
46,yellowknife,62.456,-114.3525,61.32,48,20,1.01,CA,1627259359
47,raudeberg,61.9875,5.1352,61.47,88,100,7.67,NO,1627259616
48,morant bay,17.8815,-76.4093,82.02,84,40,5.12,JM,1627259617
49,nikolskoye,59.7035,30.7861,64.8,62,98,4.45,RU,1627259617
50,rong kwang,18.339,100.3174,76.48,98,100,3.36,TH,1627259617
51,sokol,59.4617,40.1206,58.53,64,100,5.23,RU,1627259618
52,arman,59.7,150.1667,54.81,99,100,7.25,RU,1627259618
53,port macquarie,-31.4333,152.9167,65.37,38,0,4.54,AU,1627259619
54,muros,42.7762,-9.0603,64.99,88,13,5.75,ES,1627259619
55,tucumcari,35.1717,-103.725,93.04,26,20,18.41,US,1627259619
56,mahebourg,-20.4081,57.7,68.29,77,40,6.91,MU,1627259620
57,chapais,49.7834,-74.8492,56.98,84,86,5.32,CA,1627259620
58,upernavik,72.7868,-56.1549,42.69,74,100,5.91,GL,1627259621
59,bethel,41.3712,-73.414,77.07,87,0,2.55,US,1627259485
60,santa maria,-29.6842,-53.8069,81.7,42,0,9.22,BR,1627259615
61,anloga,5.7947,0.8973,77.22,78,100,13.2,GH,1627259621
62,nadym,65.5333,72.5167,48.42,77,99,9.19,RU,1627259622
63,lorengau,-2.0226,147.2712,84.47,67,15,6.76,PG,1627259622
64,iracoubo,5.4802,-53.2011,77.43,86,100,6.82,GF,1627259622
65,hilo,19.7297,-155.09,80.4,84,90,11.5,US,1627259623
66,guerrero negro,27.9769,-114.0611,72.1,71,2,16.51,MX,1627259623
67,kamenka,51.3223,42.7678,58.6,62,6,3.15,RU,1627259623
68,labuan,5.2767,115.2417,80.96,89,20,1.14,MY,1627259624
69,ukiah,39.1502,-123.2078,100.53,21,1,9.22,US,1627259624
70,tuktoyaktuk,69.4541,-133.0374,48.2,87,75,10.36,CA,1627259516
71,mar del plata,-38.0023,-57.5575,52.0,57,75,7.0,AR,1627259624
72,sosva,59.1766,61.8558,52.61,66,100,4.83,RU,1627259625
73,palmer,42.1584,-72.3287,74.95,83,75,0.0,US,1627259625
74,honiara,-9.4333,159.95,84.07,71,87,4.81,SB,1627259625
75,isangel,-19.55,169.2667,80.71,74,75,5.75,VU,1627259626
76,harper,4.375,-7.7169,76.3,76,53,7.0,LR,1627259626
77,dispur,26.1425,91.7889,82.35,91,100,1.21,IN,1627259626
78,port elizabeth,-33.918,25.5701,46.69,81,0,2.3,ZA,1627259537
79,avarua,-21.2078,-159.775,78.85,73,20,9.22,CK,1627259627
80,tromso,69.6496,18.957,50.02,93,90,3.44,NO,1627259627
81,bluff,-46.6,168.3333,47.8,84,100,2.98,NZ,1627259628
82,flinders,-34.5833,150.8552,61.81,60,50,7.0,AU,1627259628
83,roebourne,-20.7833,117.1333,74.41,38,63,4.0,AU,1627259628
84,hvide sande,56.0045,8.1294,66.09,91,49,11.81,DK,1627259629
85,bathsheba,13.2167,-59.5167,79.41,94,75,6.91,BB,1627259629
86,monrovia,6.3005,-10.7969,75.81,78,88,6.49,LR,1627259368
87,provideniya,64.3833,-173.3,48.31,93,90,4.47,RU,1627259533
88,arraial do cabo,-22.9661,-42.0278,70.16,78,0,25.52,BR,1627259550
89,airai,-8.9266,125.4092,71.62,31,70,2.98,TL,1627259630
90,monclova,26.9,-101.4167,94.42,22,0,13.31,MX,1627259538
91,saint george,37.1041,-113.5841,95.34,61,90,7.0,US,1627259461
92,misratah,32.3754,15.0925,79.75,71,0,10.2,LY,1627259630
93,ilulissat,69.2167,-51.1,51.82,40,100,11.5,GL,1627259631
94,broken hill,-31.95,141.4333,55.11,58,0,12.66,AU,1627259631
95,saint-pierre,-21.3393,55.4781,65.84,67,0,6.91,RE,1627259631
96,novikovo,51.1537,37.8879,60.24,65,0,3.18,RU,1627259632
