,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,58.5,69,94,4.0,AU,1627433079
1,San Cristobal,7.7669,-72.225,73.58,95,25,1.5,VE,1627433155
2,Nikolskoye,59.7035,30.7861,65.01,67,100,4.65,RU,1627433197
3,Rio Grande,-32.035,-52.0986,41.95,62,5,20.4,BR,1627433604
4,Sibolga,1.7427,98.7792,78.42,86,52,2.24,ID,1627433605
5,Ribeira Grande,38.5167,-28.7,72.12,84,37,10.02,PT,1627433158
6,Ruska Poliana,49.417,31.9201,69.33,53,43,7.81,UA,1627433608
7,Hobart,-42.8794,147.3294,57.25,69,75,8.01,AU,1627432931
8,Mataura,-46.1927,168.8643,51.48,74,69,0.63,NZ,1627433112
9,Calvià,39.5657,2.5062,74.57,59,0,5.73,ES,1627433611
10,Mahébourg,-20.4081,57.7,67.24,100,75,14.97,MU,1627433216
11,Rikitea,-23.1203,-134.9692,74.12,78,100,14.72,PF,1627432890
12,Hilo,19.7297,-155.09,82.13,80,90,8.05,US,1627432939
13,Vostok,46.4856,135.8833,84.83,60,79,1.3,RU,1627433250
14,Vaini,-21.2,-175.2,69.96,88,75,6.91,TO,1627432908
15,Safi,32.2994,-9.2372,69.73,93,65,13.15,MA,1627433619
16,Atuona,-9.8,-139.0333,78.26,65,0,16.58,PF,1627433096
17,Port Hardy,50.6996,-127.4199,64.58,72,20,11.5,CA,1627433409
18,Toora-Khem,52.4675,96.11,61.36,95,100,2.08,RU,1627433223
19,Tiznit Province,29.5833,-9.5,69.69,71,0,2.06,MA,1627433624
20,Yarmouth,41.7057,-70.2286,78.17,68,1,8.01,US,1627433625
21,High Level,58.5169,-117.136,71.71,46,40,3.44,CA,1627433627
22,Khotynets,53.1286,35.3966,64.29,76,100,6.29,RU,1627433628
23,Yellowknife,62.456,-114.3525,62.33,48,40,1.99,CA,1627433035
24,Hithadhoo,-0.6,73.0833,80.55,78,100,8.7,MV,1627433160
25,Arraial do Cabo,-22.9661,-42.0278,70.95,81,0,24.07,BR,1627433153
26,Huilong,31.8111,121.655,81.03,95,100,22.21,CN,1627433632
27,São João da Barra,-21.6403,-41.0511,70.83,85,0,15.93,BR,1627433516
28,College,64.8569,-147.8028,66.52,74,90,9.22,US,1627433296
29,Ancud,-41.8697,-73.8203,42.33,84,68,3.24,CL,1627433636
30,Aljezur,37.3191,-8.8033,63.63,80,0,12.26,PT,1627433637
31,Gondanglegi,-7.7479,112.0132,79.05,70,3,13.69,ID,1627433638
32,Tuktoyaktuk,69.4541,-133.0374,53.6,71,75,6.91,CA,1627433240
33,Kovdor,67.5662,30.4758,54.54,95,12,3.53,RU,1627433641
34,Labinsk,44.6342,40.7356,59.74,82,79,9.84,RU,1627433643
35,Miyako,39.6367,141.9525,72.82,97,100,20.18,JP,1627433644
